Sector,Ticker,Year,Month,Monthly_Return_%
Consumer Staples,ITC.NS,2025,11,-3.8634
Consumer Staples,ITC.NS,2025,12,-0.28049999999999997
Consumer Staples,ITC.NS,2026,1,-21.709600000000002
Consumer Staples,ITC.NS,2026,2,-2.4102999999999994
Consumer Staples,ITC.NS,2026,3,-3.0444000000000004
Energy,RELIANCE.NS,2000,1,27.967
Energy,RELIANCE.NS,2000,2,-4.8477
Energy,RELIANCE.NS,2000,3,5.135200000000001
Energy,RELIANCE.NS,2000,4,11.0231
Energy,RELIANCE.NS,2000,5,0.2636999999999995
Energy,RELIANCE.NS,2000,6,-0.6777
Energy,RELIANCE.NS,2000,7,-0.5750000000000011
Energy,RELIANCE.NS,2000,8,0.0268999999999998
Energy,RELIANCE.NS,2000,9,2.3845
Energy,RELIANCE.NS,2000,10,-12.1349
Energy,RELIANCE.NS,2000,11,8.5201
Energy,RELIANCE.NS,2000,12,3.4092999999999996
Energy,RELIANCE.NS,2001,1,12.9489
Energy,RELIANCE.NS,2001,2,7.5703
Energy,RELIANCE.NS,2001,3,-5.120100000000001
Energy,RELIANCE.NS,2001,4,-10.8246
Energy,RELIANCE.NS,2001,5,13.89
Energy,RELIANCE.NS,2001,6,-5.862899999999999
Energy,RELIANCE.NS,2001,7,-13.808
Energy,RELIANCE.NS,2001,8,-2.1645999999999996
Energy,RELIANCE.NS,2001,9,-13.6128
Energy,RELIANCE.NS,2001,10,-3.4317
Energy,RELIANCE.NS,2001,11,13.7907
Energy,RELIANCE.NS,2001,12,5.6649
Energy,RELIANCE.NS,2002,1,-1.445400000000002
Energy,RELIANCE.NS,2002,2,2.974
Energy,RELIANCE.NS,2002,3,-2.1261
Energy,RELIANCE.NS,2002,4,-7.336099999999999
Energy,RELIANCE.NS,2002,5,-4.9301
Energy,RELIANCE.NS,2002,6,2.4745
Energy,RELIANCE.NS,2002,7,-9.418000000000001
Energy,RELIANCE.NS,2002,8,4.691999999999998
Energy,RELIANCE.NS,2002,9,1.1800999999999995
Energy,RELIANCE.NS,2002,10,4.0746
Energy,RELIANCE.NS,2002,11,8.341099999999999
Energy,RELIANCE.NS,2002,12,3.5470999999999995
Energy,RELIANCE.NS,2003,1,-7.6883
Energy,RELIANCE.NS,2003,2,7.100700000000001
Energy,RELIANCE.NS,2003,3,-5.502999999999999
Energy,RELIANCE.NS,2003,4,-1.004099999999999
Energy,RELIANCE.NS,2003,5,8.6502
Energy,RELIANCE.NS,2003,6,8.8837
Energy,RELIANCE.NS,2003,7,9.9403
Energy,RELIANCE.NS,2003,8,11.512699999999999
Energy,RELIANCE.NS,2003,9,10.7711
Energy,RELIANCE.NS,2003,10,9.6156
